# Anatase_TiO2 Nanoparticles (#268 atoms)

Temp      HOMO       LUMO       Eg       Ef         Et           Exact_Temp     per-atom
  0     -7.494     -4.337    3.1570   -5.9154  -19260.9725       0.00000       -71.869
 50     -7.600     -4.337    3.2630   -5.9688  -19259.6653       49.3320       -71.864
100     -7.650     -4.342    3.3080   -5.9963  -19257.9623       98.4368       -71.858
150     -7.694     -4.363    3.3310   -6.0287  -19256.1319       148.6315      -71.851
200     -7.736     -4.359    3.3770   -6.0477  -19253.6972       197.9234      -71.842
250     -7.777     -4.359    3.4180   -6.0678  -19251.0690       247.8663      -71.832
300     -7.817     -4.360    3.4570   -6.0884  -19248.5064       297.8462      -71.823
350     -7.854     -4.367    3.4870   -6.1102  -19245.6544       348.1711      -71.812
400     -7.885     -4.385    3.5000   -6.1348  -19242.4703       398.2535      -71.800
450     -7.908     -4.425    3.4830   -6.1662  -19239.3234       448.2831      -71.789
500     -7.927     -4.423    3.5040   -6.1750  -19237.3539       497.6768      -71.781
550     -7.955     -4.484    3.4710   -6.2196  -19235.1142       549.7830      -71.773
600     -7.969     -4.523    3.4460   -6.2461  -19231.8688       599.6962      -71.761
650     -7.986     -4.524    3.4620   -6.2550  -19228.6283       647.2367      -71.749
700     -7.997     -4.521    3.4760   -6.2856  -19225.3618       697.4926      -71.736
750     -8.009     -4.558    3.4510   -6.3039  -19221.7538       748.5863      -71.723
800     -8.021     -4.595    3.4260   -6.3255  -19218.1380       798.2433      -71.709
850     -8.033     -4.625    3.4080   -6.3461  -19214.3445       848.4816      -71.695
900     -8.072     -4.613    3.4590   -6.3655  -19211.9189       900.6020      -71.686
950     -8.116     -4.530    3.5860   -6.3650  -19209.7526       949.2655      -71.678
1000    -8.144     -4.528    3.6160   -6.3816  -19206.4600      1002.5488      -71.666
