  n        O       Ti
 268 1.687367 1.642593
 268 1.687745 1.641967
 268 1.687969 1.641691
 268 1.688277 1.641235
 268 1.688418 1.640914
 268 1.688648 1.640546
 268 1.689116 1.640023
 268 1.689412 1.639693
 268 1.68993  1.638865
 268 1.690473 1.6378
 268 1.691215 1.636291
 268 1.69179  1.635288
 268 1.691974 1.634838
 268 1.692337 1.634186
 268 1.692366 1.634074
 268 1.692384 1.634116
 268 1.692483 1.634018
 268 1.69268  1.63358
 268 1.693    1.632751
 268 1.693254 1.631803
 268 1.693281 1.631148
