# Brookite_TiO2 Nanoparticles (#295 atoms)

Temp      HOMO       LUMO       Eg       Ef         Et           Exact_Temp      per-atom
  0     -7.937     -4.345    3.5920   -6.1412    -21271.9552      0.00000       -72.108
 50     -7.846     -4.346    3.5000   -6.0959    -21270.4074      47.8556       -72.103
100     -7.803     -4.346    3.4570   -6.0741    -21268.3866      96.2043       -72.096
150     -7.769     -4.349    3.4200   -6.0591    -21265.9150      146.9206      -72.088
200     -7.739     -4.359    3.3800   -6.0494    -21263.2868      197.9437      -72.079
250     -7.721     -4.383    3.3380   -6.0519    -21260.7547      244.3343      -72.070
300     -7.704     -4.414    3.2900   -6.0591    -21257.6952      293.0137      -72.060
350     -7.696     -4.449    3.2470   -6.0725    -21254.6057      346.4340      -72.050
400     -7.738     -4.483    3.2550   -6.1104    -21251.2815      393.5477      -72.038
450     -7.760     -4.509    3.2510   -6.1343    -21248.0117      448.3498      -72.027
500     -7.723     -4.545    3.1780   -6.1337    -21245.0902      504.2522      -72.017
550     -7.807     -4.567    3.2400   -6.1870    -21241.6704      549.3377      -72.006
600     -7.800     -4.603    3.1970   -6.2015    -21237.8489      595.9607      -71.993
650     -7.755     -4.641    3.1140   -6.2034    -21233.7676      641.8274      -71.979
700     -7.743     -4.679    3.0640   -6.2185    -21229.7745      693.0000      -71.965
750     -7.753     -4.717    3.0360   -6.2462    -21226.2518      747.4343      -71.953
800     -7.730     -4.753    2.9770   -6.2595    -21222.3488      796.4033      -71.940
850     -7.702     -4.901    2.8010   -6.3091    -21219.4600      846.8060      -71.930
900     -7.668     -4.895    2.7730   -6.2947    -21215.7204      888.7708      -71.918
950     -7.618     -4.926    2.6920   -6.2876    -21211.8246      936.4805      -71.904
1000    -7.583     -4.962    2.6210   -6.2908    -21207.4358      978.2429      -71.890
