# Rutile_TiO2 Nanoparticles (#287 atoms)

Temp      HOMO       LUMO       Eg       Ef         Et           Exact_Temp      per-atom
  0     -7.212     -4.458    2.7540   -5.8350   -20967.0972       0.00000       -73.056
 50     -7.284     -4.454    2.8340   -5.8694   -20965.6232       49.9882       -73.051
100     -7.321     -4.442    2.8790   -5.8818   -20963.8802       99.6361       -73.045
150     -7.351     -4.453    2.8980   -5.9018   -20961.9275       149.9297      -73.038
200     -7.371     -4.493    2.8780   -5.9321   -20959.9705       199.9197      -73.031
250     -7.388     -4.490    2.8980   -5.9391   -20957.7254       249.7271      -73.023
300     -7.408     -4.514    2.8940   -5.9609   -20955.5248       299.8139      -73.016
350     -7.421     -4.512    2.9090   -5.9667   -20953.0787       349.4828      -73.007
400     -7.438     -4.544    2.8940   -5.9907   -20950.7468       399.9319      -72.999
450     -7.444     -4.547    2.8970   -5.9952   -20948.3658       448.9623      -72.991
500     -7.430     -4.574    2.8560   -6.0018   -20946.3398       499.0887      -72.984
550     -7.441     -4.661    2.7800   -6.0513   -20943.4850       548.0632      -72.974
600     -7.459     -4.678    2.7810   -6.0759   -20942.3292       598.5439      -72.970
650     -7.425     -4.639    2.7860   -6.0488   -20939.8883       648.3974      -72.961
700     -7.445     -4.643    2.8020   -6.0655   -21486.2723       699.7694      -72.949
750     -7.401     -4.646    2.7550   -6.0495   -20932.8364       753.4211      -72.937
800     -7.403     -4.661    2.7420   -6.0605   -20929.6496       806.0119      -72.926
850     -7.392     -4.667    2.7250   -6.0628   -20926.6919       854.5717      -72.915
900     -7.378     -4.676    2.7020   -6.0629   -20923.3569       902.6512      -72.904
950     -7.382     -4.698    2.6840   -6.0733   -20919.9392       951.2188      -72.892
1000    -7.370     -4.761    2.6090   -6.0873   -20915.3069       1000.8787     -72.876
